PortName 				Direction 	Type 
rzq	,				Inout	,	LOGIC,
mcbx_dram_we_n	,			Output	,	LOGIC,
mcbx_dram_udqs	,			Inout	,	LOGIC,
mcbx_dram_udm	,			Output	,	LOGIC,
mcbx_dram_ras_n	,			Output	,	LOGIC,
mcbx_dram_ldm	,			Output	,	LOGIC,
mcbx_dram_dqs	,			Inout	,	LOGIC,
mcbx_dram_dq[15:0]	,		Inout	,	WIRE,
mcbx_dram_clk_n	,			Output	,	LOGIC,
mcbx_dram_clk	,			Output	,	LOGIC,
mcbx_dram_cke	,			Output	,	LOGIC,
mcbx_dram_cas_n	,			Output	,	LOGIC,
mcbx_dram_ba[1:0]	,		Output	,	WIRE,
mcbx_dram_addr[12:0]	,		Output	,	WIRE,
USB_Uart_sout	,			Output	,	LOGIC,
USB_Uart_sin	,			Input	,	LOGIC,
SPI_FLASH_Wn	,			Output	,	LOGIC,
SPI_FLASH_SS	,			Inout	,	LOGIC,
SPI_FLASH_SCLK	,			Inout	,	LOGIC,
SPI_FLASH_MOSI	,			Inout	,	LOGIC,
SPI_FLASH_MISO	,			Inout	,	LOGIC,
SPI_FLASH_HOLDn	,			Output	,	LOGIC,
RESET	,				Input	,	LOGIC,
LEDs_4Bits_TRI_O[3:0]	,		Output	,	WIRE,
CLK_66MHZ	,			Input	,	LOGIC,
DIP_Switches_GPIO_IO_I_pin[3:0]	,	Input	,	WIRE,
